,birth_rate,death_rate,net_rate,gva_per_capita,gva_per_business
count,1714.0,1705.0,1705.0,1751.0,1714.0
mean,11.21762775607329,10.56276629883631,0.6402313808168901,28026.797669350784,688039.8407659645
std,2.42267739478921,2.0870786162653596,2.245282637394991,12013.830546903295,242606.16578625873
min,3.0303030303030303,3.0303030303030303,-10.33464566929134,11371.967557509148,246958.30485304169
25%,9.45592052499892,9.182389937106915,-0.4926108374384236,20122.98401366919,521173.12595488003
50%,10.878651636663282,10.308056872037914,0.5181347150259068,24863.413451677265,631463.3525732881
75%,12.498585332729743,11.715749039692705,1.7128175849272052,32684.502799769274,810035.8217610617
max,32.01376936316696,22.14566929133858,12.955465587044534,121823.4142545715,2086908.2253372124
